,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourHeavies,RevenuePerDay,RevenuePerDayLights,RevenuePerDayHeavies,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
183,PM-Late,3,OP,NT,4,NB,4NB,3.3,70,8000.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.3103448275862069,0.3103448275862069,3.506,0.708,4555.3,350.7,4906.0,5607.4,1.2,0.7009249999999999,5607.4,0.0,1.0,0.0,4008.664,308.616,4317.28,1.1960494448560306,3.588148334568092,0.12500822131023304,0.12474625742785149,75.30840216088762,225.92520648266287,66.10329182281608,69.99823256265083,2.389555750772275,2.828642849271704,2.9953122535973122,-0.16666940432560828,0.1167185775181185,501.11595647036404,4054.1840435296363,38.498690982353814,312.20130901764617,539.6146474527178,4366.385352547282,13099.156057641847,616.6120294174254,4990.787970582574,3.946963168024901,11.840889504074703,1.3667132257392687,2433.7449690716653,1977.8862230980965,455.85874597356866,7301.2349072149955,5933.658669294289,1367.576237920706,1503.3478694110922,115.49607294706144,1618.8439423581538,14718.0
184,Night,8,OP,NT,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.3103448275862069,0.3103448275862069,3.506,0.708,2210.7,365.4,2576.1,3306.8999999999996,1.2,0.41336249999999997,3306.8999999999996,0.0,1.0,0.0,1945.416,321.55199999999996,2266.968,0.7001736604690256,2.100520981407077,0.11263791057661167,0.11258468413685492,78.64347577938493,235.93042733815474,69.81380397788689,69.99996015218608,1.485574973623553,2.8285730387493158,2.8361153341925807,-0.007542295443264901,0.005280733934806566,219.12759344230955,1991.5724065576903,36.20183035357397,329.198169646426,255.3294237958835,2320.7705762041164,18566.16460963293,327.7330845030315,2979.166915496968,2.3105730795477846,6.931719238643353,0.8987216201793333,757.2512423298637,506.3103183938921,250.94092393597157,6058.009938638909,4050.4825471511367,2007.5273914877725,1753.0207475384764,289.61464282859174,2042.635390367068,20608.8
185,AM-Early,1,OP,AM,4,SB,4SB,3.3,70,8800.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.2903225806451613,0.2903225806451613,3.35,0.715,6002.9,496.5,6499.4,7492.4,1.2,0.8514090909090909,7492.4,0.0,1.0,0.0,5282.552,436.92,5719.472,1.550596515248339,4.651789545745017,0.11567186751901673,0.11523946269633668,67.21525603388677,201.64576810166034,58.3269998060489,69.99370066104554,2.9204458713243215,2.8288259961970463,3.394654288038077,-0.5658282918410307,0.3962580016266542,611.0426551063168,5391.857344893683,50.35042604128343,446.1495739587166,661.3930811476002,5838.006918852399,5838.006918852399,762.0939332301671,6730.306066769833,5.116968500319518,15.350905500958556,1.7866836391880585,3899.6106506233714,3126.686018530627,772.9246320927447,3899.6106506233714,3126.686018530627,772.9246320927447,611.0426551063168,50.35042604128343,661.3930811476002,6499.4
186,AM-Peak,2,Peak,AM,4,SB,4SB,3.3,70,9600.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.2727272727272727,0.2727272727272727,3.35,0.715,7243.215,607.1100000000001,7850.325000000001,8632.9,1.2,0.8992604166666667,8632.9,0.0,1.0,0.0,6374.0292,534.2568000000001,6908.286000000001,2.0999985233120086,6.299995569936026,0.12625594397646434,0.1256513473074661,64.77662595610948,194.32987786832845,55.93619556273736,69.96665346135467,4.248479963920495,2.8299195431629895,3.5397473497804404,-0.7098278066174508,0.49782314484630813,804.7590735795478,6438.455926420453,67.13008672817547,539.9799132718247,871.8891603077233,6978.435839692277,13956.871679384554,1006.1493337640743,8058.395666235927,6.9299951269296285,20.789985380788885,2.4233723864512653,6972.609979948526,5576.976458258669,1395.6335216898578,13945.219959897053,11153.952916517337,2791.2670433797157,1609.5181471590956,134.26017345635094,1743.7783206154465,15700.650000000001
187,AM-Shoulder,1,OP,AM,4,SB,4SB,3.3,70,8800.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.2903225806451613,0.2903225806451613,3.35,0.715,6074.8,914.5,6989.3,8818.3,1.2,1.0020795454545455,8818.3,0.0,1.0,0.0,5345.8240000000005,804.76,6150.584,2.099998159542078,6.299994478626234,0.1305892954667237,0.1301993990407757,63.80178269156392,191.40534807469174,47.07117430154521,69.96538236864632,3.198593263738448,2.8299709555897463,4.206396014927978,-1.3764250593382314,0.9644772104495843,698.1073898491029,5376.692610150897,104.77926837205466,809.7207316279454,802.8866582211575,6186.413341778843,6186.413341778843,1012.4451949652669,7805.854805034733,6.929993926488857,20.78998177946657,2.648111068098769,7016.239052012126,4837.879971691272,2178.359080320854,7016.239052012126,4837.879971691272,2178.359080320854,698.1073898491029,104.77926837205466,802.8866582211575,6989.3
188,MD,5,OP,MD,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.3103448275862069,0.3103448275862069,3.353,0.708,8107.4,764.3,8871.699999999999,10400.3,1.2,1.3000375,10400.3,0.0,1.0,0.0,7134.512,672.584,7807.095999999999,2.099999084656777,6.299997253970331,0.2420051074533257,0.24161383517099314,46.981021110003745,140.94306333001126,32.58802694141734,66.40597105266822,2.155534397309441,2.9816595836383644,6.075851120288427,-3.094191536650063,2.2730957842018995,1726.5883431870416,6380.811656812958,162.50559971464725,601.7944002853527,1889.093942901689,6982.606057098311,34913.03028549156,2214.105142330983,8186.194857669016,6.929996979367364,20.789990938102093,2.4612956860615482,15343.741948355462,11965.2520028971,3378.4899454583624,76718.7097417773,59826.260014485495,16892.449727291812,8632.941715935209,812.5279985732362,9445.469714508445,44358.49999999999
189,PM-Shoulder,1,OP,PM,4,SB,4SB,3.3,70,6400.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.36,0.36,3.502,0.592,9280.5,578.8,9859.3,11016.9,1.2,1.721390625,11016.9,0.0,1.0,0.0,8166.84,509.34399999999994,8676.184,4.199999963754709,12.599999891264126,0.3018516433131848,0.29970337465446123,45.32201262003234,135.966037860097,17.56153562081534,54.407020856083776,2.048742048238077,3.639236203058152,11.274640457142855,-7.635404254084703,5.912248319999998,2465.1740746758505,6815.3259253241495,152.65211566000187,426.1478843399981,2617.8261903358525,7241.473809664148,7241.473809664148,2923.130421655856,8093.769578344143,13.85999988039054,41.57999964117161,4.68982536362729,40514.58729451611,34167.312380149146,6347.274914366965,40514.58729451611,34167.312380149146,6347.274914366965,2465.1740746758505,152.65211566000187,2617.8261903358525,9859.3
190,PM-Peak,3,Peak,PM,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.3103448275862069,0.3103448275862069,3.502,0.592,8787.24,571.2,9358.44,10000.8,1.2,1.2501,10000.8,0.0,1.0,0.0,7732.7712,502.65600000000006,8235.4272,2.099999998579031,6.2999999957370925,0.2382483100763281,0.2378748010526741,50.620733055086866,151.8621991652606,37.6563113241051,66.52524639803494,2.999494838608095,2.976313666173037,5.258082723393393,-2.281769057220356,1.7006579063753753,1842.3196706068998,6944.9203293931005,119.56919599793298,451.63080400206707,1961.8888666048329,7396.551133395167,22189.653400185503,2201.0272586006986,8299.812741399302,6.929999995310802,20.789999985932404,2.3559730210064336,15253.118891781789,12767.275308666814,2485.8435831149754,45759.35667534536,38301.82592600044,7457.530749344926,5526.9590118207,358.70758799379894,5885.666599814499,28075.32
191,PM-Late,3,OP,NT,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.3103448275862069,0.3103448275862069,3.506,0.708,6421.2,494.3,6915.5,7904.1,1.2,0.9880125000000001,7904.1,0.0,1.0,0.0,5650.656,434.98400000000004,6085.64,2.0999999897582065,6.299999969274619,0.14596510498501922,0.14541081714436743,70.41395263234295,211.24185789702886,49.71776602157019,69.96494796301168,3.059090521305592,2.8299885266073024,3.982479822486335,-1.1524912958790328,0.8077358757404346,824.7985962742288,5596.401403725771,63.251378884725526,431.0486211152745,888.0499751589543,6027.450024841046,18082.350074523136,1014.5527329284054,6889.547267071594,6.929999966202081,20.789999898606244,2.39914508006991,7030.850404904078,5715.854244303929,1314.9961606001489,21092.55121471223,17147.562732911785,3944.9884818004466,2474.3957888226864,189.7541366541766,2664.1499254768632,20746.5
304,Night,8,OP,NT,4,NB,4NB,3.3,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,2681.3,486.6,3167.9,4141.1,1.2,0.5176375000000001,4141.1,0.0,1.0,0.0,2359.5440000000003,428.208,2787.752,0.926498018395075,2.779494055185225,0.12426575397952078,0.12419362994278554,85.84341979205486,257.53025937616457,69.33411694499664,69.99972302076056,1.7702720695363159,2.828582620838043,2.855736954969444,-0.02715433413140067,0.01901586847861048,293.21051420785443,2388.0894857921458,53.18070589054032,433.4192941094597,346.39122009839474,2821.5087799016055,22572.070239212844,452.7526318794754,3688.347368120525,3.0574434607037473,9.172330382111243,1.2109845513414983,1384.2655736563129,896.4745692743877,487.7910043819253,11074.124589250503,7171.796554195102,3902.3280350554023,2345.6841136628354,425.44564712432253,2771.129760787158,25343.2
305,AM-Early,1,OP,AM,4,NB,4NB,3.3,70,10800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.25,0.25,3.479,0.715,11736.4,975.6,12712.0,14663.2,1.2,1.3577037037037039,14663.2,0.0,1.0,0.0,10328.032,858.528,11186.56,5.149999998032049,15.449999994096148,0.17535968399228183,0.17354398561372003,63.6223386642262,190.8670159926786,21.23487608562535,65.98150529051767,2.7528403653909126,3.000840904253437,9.324283278207275,-6.323442373953839,4.546998294745093,1811.1204277821744,9925.279572217825,148.99237088097584,826.6076291190242,1960.1127986631502,10751.88720133685,10751.88720133685,2258.097540425102,12405.102459574897,16.99499999350576,50.98499998051729,5.932925052413758,38376.36768485998,30779.991658396204,7596.376026463778,38376.36768485998,30779.991658396204,7596.376026463778,1811.1204277821744,148.99237088097584,1960.1127986631502,12712.0
306,AM-Peak,2,Peak,AM,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.479,0.715,11320.68,955.9200000000001,12276.6,13512.8,1.2,1.5355454545454545,13512.8,0.0,1.0,0.0,9962.198400000001,841.2096,10803.408000000001,5.149996961925506,15.449990885776518,0.24010626210293223,0.2389379824335801,53.91270518247138,161.7381155474141,17.879318753931372,52.570406007065614,2.9969701234283583,3.7663776074582387,11.074247443374373,-7.307869835916135,5.771973210362062,2391.986220151812,8928.693779848189,200.99692462775894,754.9230753722411,2592.983144779571,9683.616855220429,19367.233710440858,2994.976994035089,11193.463005964912,16.99498997435417,50.98496992306251,5.948408284631829,50899.603987047725,40651.78183027337,10247.822156774351,101799.20797409545,81303.56366054674,20495.644313548702,4783.972440303624,401.9938492555179,5185.966289559142,24553.2
307,AM-Shoulder,1,OP,AM,4,NB,4NB,3.3,70,9600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2727272727272727,0.2727272727272727,3.479,0.715,9491.0,1435.7,10926.7,13798.1,1.2,1.4373020833333334,13798.1,0.0,1.0,0.0,8352.08,1263.416,9615.496000000001,5.149999998550169,15.449999995650508,0.20747079658250211,0.20652651118697482,58.33597202063308,175.00791606189924,19.25644434760563,62.700322835980536,2.515829570166711,3.157878477244105,10.282272076081354,-7.124393598837249,5.217590453256948,1732.8126907207843,7758.187309279216,260.92889865780296,1174.7711013421972,1993.7415893785874,8932.958410621413,8932.958410621413,2515.599386694193,11282.500613305807,16.994999995215558,50.984999985646674,6.498002001285353,42752.61156483208,29449.15167050919,13303.459894322887,42752.61156483208,29449.15167050919,13303.459894322887,1732.8126907207843,260.92889865780296,1993.7415893785874,10926.7
308,MD,5,OP,MD,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.482,0.708,9721.2,938.7,10659.900000000001,12537.300000000001,1.2,1.424693181818182,12537.300000000001,0.0,1.0,0.0,8554.656,826.056,9380.712000000001,5.149999991379263,15.44999997413779,0.20564981571334257,0.20431469925737694,58.4625687076232,175.38770612286956,19.83526318359802,65.90556026965766,2.840161535658056,3.0042988662848447,9.982221973426004,-6.977923107141159,5.007555381398204,1759.2634298910405,7961.93657010896,168.77538320975177,769.9246167902483,1928.0388131007921,8731.861186899208,43659.30593449604,2265.589579520296,10271.710420479705,16.994999971551568,50.9849999146547,6.051634560319671,38503.69483949496,29898.681940949948,8605.012898545008,192518.47419747477,149493.40970474973,43025.06449272504,8796.317149455203,843.8769160487589,9640.194065503962,53299.50000000001
309,PM-Shoulder,1,OP,PM,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.632,0.592,10764.6,674.7,11439.300000000001,12788.7,1.2,1.4532613636363638,12788.7,0.0,1.0,0.0,9472.848,593.736,10066.584,5.149999992762263,15.449999978286789,0.221860442731107,0.22052045733226242,59.663376942288586,178.99013082686577,19.648793543130928,63.02506939905461,2.518037688465378,3.1416070127004105,10.076954575626823,-6.935347562926413,5.073868202938777,2101.6502512044813,8662.94974879552,130.93093425462814,543.7690657453719,2232.5811854591093,9206.71881454089,9206.71881454089,2494.443053968366,10294.256946031635,16.994999976115466,50.9849999283464,5.754049077163222,42393.05964261376,35717.545969023224,6675.513673590543,42393.05964261376,35717.545969023224,6675.513673590543,2101.6502512044813,130.93093425462814,2232.5811854591093,11439.300000000001
310,PM-Peak,3,Peak,PM,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.632,0.592,10246.845,941.22,11188.064999999999,12448.099999999999,1.2,1.414556818181818,12448.099999999999,0.0,1.0,0.0,9017.2236,828.2736,9845.4972,5.149999992537624,15.449999977612872,0.21009633098694785,0.2089872426537579,61.09037377627417,183.27112132882252,21.888556222321863,64.16955520529287,3.875591178393928,3.0855753848776635,9.045822757285398,-5.960247372407735,4.352075930099779,1894.4855940489174,8352.359405951081,173.0986158269016,768.1213841730985,2067.584209875819,9120.48079012418,27361.44237037254,2413.7814415296225,10656.723558470378,16.994999975374157,50.98499992612248,6.012318311625927,41022.215539354525,32196.782624208045,8825.43291514648,123066.64661806358,96590.34787262413,26476.298745439442,5683.456782146752,519.2958474807049,6202.752629627456,33564.19499999999
311,PM-Late,3,OP,NT,4,NB,4NB,3.3,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,5260.6,407.0,5667.6,6481.6,1.2,0.8102,6481.6,0.0,1.0,0.0,4629.328,358.16,4987.488,1.785232039785681,5.3556961193570425,0.12270175637601718,0.12225288291477086,86.43937617965055,259.31812853895167,61.26543931026932,69.9962367991559,2.790497331000633,2.8287235007809413,3.2318384105149347,-0.40311490973399344,0.2822868873604543,568.0266764406749,4692.573323559325,43.78609254475433,363.21390745524565,611.8127689854292,5055.787231014571,15167.361693043713,699.3849540749379,5782.215045925062,5.891265731292747,17.67379719387824,2.0407622910994716,4120.262612923433,3346.3960933750614,773.866519548372,12360.787838770299,10039.188280125185,2321.5995586451163,1704.0800293220248,131.358277634263,1835.4383069562878,17002.800000000003
312,Night,8,OP,NT,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,2552.9,424.1,2977.0,3825.2000000000003,1.2,0.47815,3825.2000000000003,0.0,1.0,0.0,2246.552,373.208,2619.76,0.9002094028051443,2.700628208415433,0.11677410981001438,0.11669739120590887,88.1438491947626,264.4315475842878,69.56619291741718,69.99988152870512,1.688859847669168,2.8285762157869567,2.846210087061226,-0.017633871274269186,0.012347060942858281,262.33910994190745,2290.560890058093,43.552399977174844,380.5476000228252,305.8915099190823,2671.108490080918,21368.867920647343,392.996309873432,3432.2036901265683,2.970691029256976,8.912073087770928,1.156550482585715,1167.470612272099,779.328440527684,388.14217174441507,9339.764898176792,6234.627524221472,3105.1373739553205,2098.7128795352596,348.41919981739875,2447.1320793526584,23816.0
313,AM-Early,1,OP,AM,4,SB,4SB,3.3,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.479,0.715,6932.4,576.2,7508.599999999999,8661.0,1.2,0.9842045454545455,8661.0,0.0,1.0,0.0,6100.512,507.05600000000004,6607.567999999999,2.5749889319405073,7.724966795821522,0.11601287300089692,0.11520287953544667,76.51604595688407,229.54813787065225,47.4004258256738,69.9847631138092,3.3717728939758436,2.8291872572035786,4.177177663512802,-1.3479904063092238,0.9440243644589619,707.7379238964477,6224.662076103552,58.41431128572545,517.7856887142746,766.1522351821732,6742.447764817826,6742.447764817826,882.980857753624,7778.019142246376,8.497463475403674,25.49239042621102,2.9676425016110444,7503.097588242027,6013.977158468089,1489.1204297739378,7503.097588242027,6013.977158468089,1489.1204297739378,707.7379238964477,58.41431128572545,766.1522351821732,7508.599999999999
314,AM-Peak,2,Peak,AM,4,SB,4SB,3.3,70,9600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2727272727272727,0.2727272727272727,3.479,0.715,8364.72,704.5500000000001,9069.269999999999,9979.4,1.2,1.0395208333333332,9979.4,0.0,1.0,0.0,7360.9536,620.004,7980.957599999999,2.574999996173895,7.7249999885216845,0.1552971467898933,0.1545926263489018,67.14292682134418,201.4287804640325,46.70929250632848,69.72531867075952,4.067917003795696,2.8397145222806217,4.238985207775812,-1.3992706854951904,0.9872896454430682,1143.1350917327934,7221.584908267206,95.84804670682452,608.7019532931755,1238.983138439618,7830.286861560381,15660.573723120762,1430.679231853267,9047.690768146733,8.497499987373853,25.492499962121556,2.973405288782123,12157.19675460917,9713.79042756602,2443.4063270431493,24314.39350921834,19427.58085513204,4886.812654086299,2286.270183465587,191.69609341364904,2477.966276879236,18138.539999999997
315,AM-Shoulder,1,OP,AM,4,SB,4SB,3.3,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.479,0.715,7015.4,1061.3,8076.7,10199.3,1.2,1.1590113636363635,10199.3,0.0,1.0,0.0,6173.552,933.944,7107.496,2.574999996990871,7.724999990972613,0.17959997316321696,0.17917800377459103,62.59515685443417,187.78547056330254,37.54983134190677,69.44274262608766,2.790600694400111,2.8512698737451223,5.272993058134616,-2.4217231843894935,1.7110951406942307,1108.7697735217243,5906.630226478275,167.34222155725664,893.9577784427433,1276.111995078981,6800.588004921019,6800.588004921019,1610.7964381934944,8588.503561806505,8.497499990069873,25.49249997020962,3.250342320655357,13687.742717553803,9421.771139490627,4265.971578063177,13687.742717553803,9421.771139490627,4265.971578063177,1108.7697735217243,167.34222155725664,1276.111995078981,8076.7
316,MD,5,OP,MD,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.482,0.708,9362.7,887.0,10249.7,12023.7,1.2,1.5029625000000002,12023.7,0.0,1.0,0.0,8239.176000000001,780.5600000000001,9019.736,5.149999966208932,15.449999898626796,0.23662098168830603,0.23545767700194747,54.24576686209409,162.73730058628226,18.206764299932953,62.926619872834394,2.617000837100109,3.1465220982809723,10.875078994718965,-7.728556896437993,5.632555296303275,1949.5619134227309,7413.13808657727,183.78884436064013,703.2111556393598,2133.350757783371,8116.34924221663,40581.74621108315,2500.928446504651,9522.77155349535,16.994999888489474,50.98499966546842,6.037348226961267,42503.2786694667,33132.804501222636,9370.474168244065,212516.3933473335,165664.02250611316,46852.37084122033,9747.809567113654,918.9442218032007,10666.753788916854,51248.5
317,PM-Shoulder,1,OP,PM,4,SB,4SB,3.3,70,6400.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.36,0.36,3.632,0.592,10717.5,671.8,11389.3,12732.9,1.2,1.989515625,12732.9,0.0,1.0,0.0,9431.4,591.184,10022.583999999999,5.149999720962602,15.449999162887806,0.2611685785822891,0.258242291406226,55.55181581661896,166.6554474498569,17.56153562081534,54.455218043521334,2.0515858521413253,3.636015190348807,11.274640457142855,-7.6386252667940475,5.912248319999998,2463.1853320410014,8254.314667958999,152.6687108026983,519.1312891973016,2615.8540428436995,8773.4459571563,8773.4459571563,2921.191464449096,9811.708535550904,16.994999079176583,50.98499723752976,5.751137097250531,49645.64624841089,41861.832449878086,7783.813798532804,49645.64624841089,41861.832449878086,7783.813798532804,2463.1853320410014,152.6687108026983,2615.8540428436995,11389.3
318,PM-Peak,3,Peak,PM,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.632,0.592,10147.83,662.865,10810.695,11558.5,1.2,1.4448125,11558.5,0.0,1.0,0.0,8930.0904,583.3212,9513.4116,5.149999942046613,15.449999826139841,0.22424069662594615,0.2230380171779666,59.36292141713994,178.08876425141983,21.460534773123047,64.4435102333693,3.9686344262259743,3.0724583326231385,9.226237933640553,-6.153779601017414,4.478366553548387,2002.489692228674,8145.3403077713265,130.1028038258721,532.7621961741279,2132.592496054546,8678.102503945454,26034.307511836363,2392.79810370629,9743.62689629371,16.994999808753825,50.984999426261474,5.778370747442344,40665.60331487491,34032.311936457816,6633.291378417098,121996.80994462474,102096.93580937345,19899.874135251295,6007.469076686022,390.30841147761623,6397.777488163639,32432.085
319,PM-Late,3,OP,NT,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,7415.4,573.7,7989.099999999999,9136.5,1.2,1.1420625,9136.5,0.0,1.0,0.0,6525.552,504.85600000000005,7030.407999999999,2.5749999970816204,7.724999991244861,0.1935769708712434,0.19296693084391775,70.057981329802,210.173943989406,40.59952281101376,69.54750219163047,2.7221490479202317,2.8469749992520628,4.876904610964711,-2.0299296117126486,1.4338332276752979,1263.196589422784,6152.203410577215,97.42051283813694,476.27948716186313,1360.617102260921,6628.482897739079,19885.448693217237,1555.4581279371948,7581.041872062805,8.497499990369347,25.49249997110804,2.9437412393562394,13217.505427166236,10734.0130064547,2483.4924207115364,39652.516281498705,32202.0390193641,7450.477262134609,3789.5897682683517,292.26153851441086,4081.8513067827625,23967.3
